version,2.3.0
info,balls_per_over,6
info,team,Eswatini
info,team,St Helena
info,team_type,international
info,gender,male
info,season,2025/26
info,date,2026/03/24
info,event,ICC Men's T20 World Cup Africa Sub Regional Qualifier B
info,match_id,1526841
info,match_type,T20
info,match_type_number,3781
info,overs,20
info,match_number,2
info,venue,"Achimota Senior Secondary School A Field, Accra"
info,city,Accra
info,toss_winner,Eswatini
info,toss_decision,bat
info,player_of_match,M Magagula
info,umpire,A Kassam
info,umpire,A Jacobs
info,reserve_umpire,Claus Schumacher
info,match_referee,O Chirombe
info,target_overs,2,20
info,target_runs,2,116
info,winner,Eswatini
info,winner_runs,27
info,player,Eswatini,Adil Butt
info,player,Eswatini,M Khojbariya
info,player,Eswatini,Eric Phiri
info,player,Eswatini,R Sandeep
info,player,Eswatini,Mohammed Alamgir
info,player,Eswatini,H Jangariya
info,player,Eswatini,M Magagula
info,player,Eswatini,Saqib Anwar
info,player,Eswatini,S Jele
info,player,Eswatini,M Jele
info,player,Eswatini,Het Patel
info,player,St Helena,J Essex
info,player,St Helena,J Henry
info,player,St Helena,Delroy Leo
info,player,St Helena,A Yon
info,player,St Helena,J Thomas
info,player,St Helena,R Francis
info,player,St Helena,AR Leo
info,player,St Helena,CR Richards
info,player,St Helena,B Leo
info,player,St Helena,BK Stroud
info,player,St Helena,J Yon
info,registry,people,A Jacobs,70d117de
info,registry,people,A Kassam,7d13b388
info,registry,people,A Yon,99bf1fb7
info,registry,people,AR Leo,e13f8b16
info,registry,people,Adil Butt,fde53ec1
info,registry,people,B Leo,740a5494
info,registry,people,BK Stroud,6577a6ad
info,registry,people,CR Richards,c10a581f
info,registry,people,Claus Schumacher,85645e62
info,registry,people,Delroy Leo,e71f511e
info,registry,people,Eric Phiri,b6355062
info,registry,people,H Jangariya,0ec2277a
info,registry,people,Het Patel,000803b1
info,registry,people,J Essex,84012d7f
info,registry,people,J Henry,68e7e8d5
info,registry,people,J Thomas,11b785d6
info,registry,people,J Yon,ecd41f8c
info,registry,people,M Jele,1a8cedc8
info,registry,people,M Khojbariya,e1631e47
info,registry,people,M Magagula,7a787b98
info,registry,people,Mohammed Alamgir,e0f12392
info,registry,people,O Chirombe,6345307f
info,registry,people,R Francis,06b766f4
info,registry,people,R Sandeep,175937f6
info,registry,people,S Jele,1c5c65d6
info,registry,people,Saqib Anwar,3847f098
