version,2.3.0
info,balls_per_over,6
info,team,Eswatini
info,team,Malawi
info,team_type,international
info,gender,male
info,season,2025/26
info,date,2026/03/27
info,event,ICC Men's T20 World Cup Africa Sub Regional Qualifier B
info,match_id,1526847
info,match_type,T20
info,match_type_number,3788
info,overs,20
info,match_number,8
info,venue,"Achimota Senior Secondary School B Field, Accra"
info,city,Accra
info,toss_winner,Eswatini
info,toss_decision,bat
info,player_of_match,K Thuchila
info,umpire,A Kassam
info,umpire,Claus Schumacher
info,reserve_umpire,Habib Enesi
info,match_referee,O Chirombe
info,target_overs,2,20
info,target_runs,2,76
info,winner,Malawi
info,winner_wickets,8
info,player,Eswatini,Adil Butt
info,player,Eswatini,Umair Qasim
info,player,Eswatini,Eric Phiri
info,player,Eswatini,H Jangariya
info,player,Eswatini,M Khojbariya
info,player,Eswatini,Mohammed Alamgir
info,player,Eswatini,M Magagula
info,player,Eswatini,R Sandeep
info,player,Eswatini,S Jele
info,player,Eswatini,Saqib Anwar
info,player,Eswatini,M Jele
info,player,Malawi,D Kansonkho
info,player,Malawi,Sami Sohail
info,player,Malawi,M Choamba
info,player,Malawi,G Kansonkho
info,player,Malawi,A Limdawala
info,player,Malawi,Kazim Somani
info,player,Malawi,SZ Vayani
info,player,Malawi,D Jakiel
info,player,Malawi,B Balala
info,player,Malawi,B Pondani
info,player,Malawi,K Thuchila
info,registry,people,A Kassam,7d13b388
info,registry,people,A Limdawala,2bcbcac3
info,registry,people,Adil Butt,fde53ec1
info,registry,people,B Balala,a2f8e873
info,registry,people,B Pondani,e5117568
info,registry,people,Claus Schumacher,85645e62
info,registry,people,D Jakiel,8b7ce771
info,registry,people,D Kansonkho,45ca12a7
info,registry,people,Eric Phiri,b6355062
info,registry,people,G Kansonkho,f3ca5af8
info,registry,people,H Jangariya,0ec2277a
info,registry,people,Habib Enesi,fb35ab1f
info,registry,people,K Thuchila,af42d9f2
info,registry,people,Kazim Somani,d2ebebbe
info,registry,people,M Choamba,5570c4c1
info,registry,people,M Jele,1a8cedc8
info,registry,people,M Khojbariya,e1631e47
info,registry,people,M Magagula,7a787b98
info,registry,people,Mohammed Alamgir,e0f12392
info,registry,people,O Chirombe,6345307f
info,registry,people,R Sandeep,175937f6
info,registry,people,S Jele,1c5c65d6
info,registry,people,SZ Vayani,a4afc486
info,registry,people,Sami Sohail,602ebd4c
info,registry,people,Saqib Anwar,3847f098
info,registry,people,Umair Qasim,e086735b
