version,2.3.0
info,balls_per_over,6
info,team,Mozambique
info,team,Zambia
info,team_type,international
info,gender,female
info,season,2026
info,date,2026/04/06
info,event,BCA Kalahari Women's T20 International Tournament
info,match_id,1528319
info,match_type,T20
info,match_type_number,2703
info,overs,20
info,match_number,3
info,venue,"Botswana Cricket Association Oval 1, Gaborone"
info,city,Gaborone
info,toss_winner,Zambia
info,toss_decision,field
info,player_of_match,P Cuinica
info,umpire,Imran Zakir
info,umpire,Vivek Kohli
info,reserve_umpire,L Msemburi
info,target_overs,2,20
info,target_runs,2,175
info,winner,Mozambique
info,winner_runs,144
info,player,Mozambique,O Mondlane
info,player,Mozambique,P Cuinica
info,player,Mozambique,AL Mundundo
info,player,Mozambique,C Magaia
info,player,Mozambique,AA Moiane
info,player,Mozambique,A Salomao
info,player,Mozambique,AL Mangue
info,player,Mozambique,IE Mulhovo
info,player,Mozambique,L Chipanga
info,player,Mozambique,RO Mazumba
info,player,Mozambique,R Haiong
info,player,Zambia,F Chenda
info,player,Zambia,R Chanda
info,player,Zambia,N Chabula
info,player,Zambia,M Kachingo
info,player,Zambia,M Chabula
info,player,Zambia,V Mwansa
info,player,Zambia,E Mulenga
info,player,Zambia,Rithika Sriram
info,player,Zambia,E Malama
info,player,Zambia,P Munsanda
info,player,Zambia,M Nguni
info,registry,people,A Salomao,04e145f4
info,registry,people,AA Moiane,80190078
info,registry,people,AL Mangue,7e8cd083
info,registry,people,AL Mundundo,c1edced9
info,registry,people,C Magaia,bb4d1237
info,registry,people,E Malama,cd440d77
info,registry,people,E Mulenga,10ae734d
info,registry,people,F Chenda,c3d8b72f
info,registry,people,IE Mulhovo,ab750f1f
info,registry,people,Imran Zakir,0071171d
info,registry,people,L Chipanga,70722cc7
info,registry,people,L Msemburi,ef6037f8
info,registry,people,M Chabula,7952fe28
info,registry,people,M Kachingo,287dab75
info,registry,people,M Nguni,b40bbd02
info,registry,people,N Chabula,c6fee9f1
info,registry,people,O Mondlane,7f97139f
info,registry,people,P Cuinica,efca38df
info,registry,people,P Munsanda,a648fdcd
info,registry,people,R Chanda,43fe74b1
info,registry,people,R Haiong,2832fbba
info,registry,people,RO Mazumba,2a753483
info,registry,people,Rithika Sriram,d409b68f
info,registry,people,V Mwansa,b0032f26
info,registry,people,Vivek Kohli,676c3a3c
