version,2.3.0
info,balls_per_over,6
info,team,Malawi
info,team,Zambia
info,team_type,international
info,gender,female
info,season,2026
info,date,2026/04/10
info,event,BCA Kalahari Women's T20 International Tournament
info,match_id,1528335
info,match_type,T20
info,match_type_number,2719
info,overs,20
info,match_number,19
info,venue,"Botswana Cricket Association Oval 2, Gaborone"
info,city,Gaborone
info,toss_winner,Malawi
info,toss_decision,bat
info,player_of_match,P Maziya
info,umpire,Imran Zakir
info,umpire,J Mukandi
info,reserve_umpire,L Msemburi
info,match_referee,J Chibhabha
info,target_overs,2,20
info,target_runs,2,87
info,winner,Malawi
info,winner_runs,53
info,player,Malawi,S Chinawa
info,player,Malawi,P Maziya
info,player,Malawi,E Chiralile
info,player,Malawi,S Kananji
info,player,Malawi,A Alfonso
info,player,Malawi,M Ndipo
info,player,Malawi,C Mangulama
info,player,Malawi,C Bwanali
info,player,Malawi,L Wesley
info,player,Malawi,L Malino
info,player,Malawi,B Kasinja
info,player,Zambia,F Chenda
info,player,Zambia,N Chabula
info,player,Zambia,Rithika Sriram
info,player,Zambia,R Chanda
info,player,Zambia,M Chabula
info,player,Zambia,M Kachingo
info,player,Zambia,T Banda
info,player,Zambia,E Mulenga
info,player,Zambia,E Malama
info,player,Zambia,P Chabuta
info,player,Zambia,P Munsanda
info,registry,people,A Alfonso,5088c217
info,registry,people,B Kasinja,eaba37fc
info,registry,people,C Bwanali,b26a30f9
info,registry,people,C Mangulama,857c13f8
info,registry,people,E Chiralile,4e193c55
info,registry,people,E Malama,cd440d77
info,registry,people,E Mulenga,10ae734d
info,registry,people,F Chenda,c3d8b72f
info,registry,people,Imran Zakir,0071171d
info,registry,people,J Chibhabha,4c5c47a4
info,registry,people,J Mukandi,b7954ae3
info,registry,people,L Malino,7a81836e
info,registry,people,L Msemburi,ef6037f8
info,registry,people,L Wesley,320d39c0
info,registry,people,M Chabula,7952fe28
info,registry,people,M Kachingo,287dab75
info,registry,people,M Ndipo,e6a893a1
info,registry,people,N Chabula,c6fee9f1
info,registry,people,P Chabuta,85f0529e
info,registry,people,P Maziya,4f85f02c
info,registry,people,P Munsanda,a648fdcd
info,registry,people,R Chanda,43fe74b1
info,registry,people,Rithika Sriram,d409b68f
info,registry,people,S Chinawa,bdbde085
info,registry,people,S Kananji,23917bf0
info,registry,people,T Banda,cd3a34f9
