version,2.3.0
info,balls_per_over,6
info,team,Cyprus
info,team,Greece
info,team_type,international
info,gender,female
info,season,2026
info,date,2026/04/04
info,event,Greece Women tour of Cyprus
info,match_id,1529783
info,match_type,T20
info,match_type_number,2698
info,overs,20
info,match_number,4
info,venue,Happy Valley Ground 2
info,city,Episkopi
info,toss_winner,Cyprus
info,toss_decision,bat
info,outcome,no result
info,player,Cyprus,A Taylor
info,player,Cyprus,N Liyanage
info,player,Cyprus,I Chathurani
info,player,Cyprus,T De Silva
info,player,Cyprus,D Koralalage
info,player,Cyprus,Dilini Ishara
info,player,Cyprus,C Wijesinghe
info,player,Cyprus,S Dunukedeniya
info,player,Cyprus,CS Gamlath
info,player,Cyprus,SDM Herath
info,player,Cyprus,S Arachchige
info,player,Greece,M Syrioti
info,player,Greece,A Makri
info,player,Greece,A Kourkoulou
info,player,Greece,A Argyropoulou
info,player,Greece,A Savvani
info,player,Greece,E Kallous
info,player,Greece,M Vervitsioti
info,player,Greece,Maria Penna
info,player,Greece,M Polimeri
info,player,Greece,NM Vitsou
info,player,Greece,T Parisi-mesimeri
info,registry,people,A Argyropoulou,3f1bfd19
info,registry,people,A Kourkoulou,637f6ae5
info,registry,people,A Makri,98affc04
info,registry,people,A Savvani,5d006a1a
info,registry,people,A Taylor,723f9bee
info,registry,people,C Wijesinghe,db86ac96
info,registry,people,CS Gamlath,9cdc553a
info,registry,people,D Koralalage,5e6041a4
info,registry,people,Dilini Ishara,f45efeca
info,registry,people,E Kallous,0680ff7f
info,registry,people,I Chathurani,85364088
info,registry,people,M Polimeri,35ccd83f
info,registry,people,M Syrioti,f9df0aa2
info,registry,people,M Vervitsioti,6fd40892
info,registry,people,Maria Penna,5063c3cf
info,registry,people,N Liyanage,2ee5997e
info,registry,people,NM Vitsou,c243b0a3
info,registry,people,S Arachchige,e6681f88
info,registry,people,S Dunukedeniya,3134e4a4
info,registry,people,SDM Herath,a586804a
info,registry,people,T De Silva,31821596
info,registry,people,T Parisi-mesimeri,c002a904
