version,2.3.0
info,balls_per_over,6
info,team,Sweden
info,team,Indonesia
info,team_type,international
info,gender,male
info,season,2026
info,date,2026/04/09
info,event,Sweden tour of Indonesia
info,match_id,1529790
info,match_type,T20
info,match_type_number,3810
info,overs,20
info,match_number,4
info,venue,Udayana Cricket Ground
info,city,Bali
info,toss_winner,Sweden
info,toss_decision,bat
info,player_of_match,YS Chauhan
info,umpire,IKAW Kusuma
info,umpire,Riaz Ur Rahman
info,match_referee,Anwesh Bose
info,target_overs,2,20
info,target_runs,2,165
info,winner,Sweden
info,winner_runs,10
info,player,Sweden,Imal Zuwak
info,player,Sweden,A Mundra
info,player,Sweden,Awais Ahmad
info,player,Sweden,Saeed Ahmed
info,player,Sweden,YS Chauhan
info,player,Sweden,A Dhabe
info,player,Sweden,DB Lakhani
info,player,Sweden,Zain Muzaffar
info,player,Sweden,Zabiullah Zahid
info,player,Sweden,Sedik Sahak
info,player,Sweden,SN Swamy
info,player,Indonesia,GA Priandana
info,player,Indonesia,Gaurav Tiwari
info,player,Indonesia,KN Chaddha
info,player,Indonesia,IK Gamantika
info,player,Indonesia,S Jegannathan
info,player,Indonesia,GD Arta
info,player,Indonesia,DJ Hawoe
info,player,Indonesia,IKEG Artawan
info,player,Indonesia,Anjar Tadarus
info,player,Indonesia,F Banunaek
info,player,Indonesia,DGAPD Wiswi
info,registry,people,A Dhabe,5a0dbdeb
info,registry,people,A Mundra,30ffaf85
info,registry,people,Anjar Tadarus,72275237
info,registry,people,Anwesh Bose,3bdae121
info,registry,people,Awais Ahmad,518a21ed
info,registry,people,DB Lakhani,03adc956
info,registry,people,DGAPD Wiswi,d3d096f5
info,registry,people,DJ Hawoe,a62f55ba
info,registry,people,F Banunaek,3c8faed4
info,registry,people,GA Priandana,2af0e3b1
info,registry,people,GD Arta,e969e580
info,registry,people,Gaurav Tiwari,cab3f89a
info,registry,people,IK Gamantika,4d7c5b56
info,registry,people,IKAW Kusuma,7ae108a8
info,registry,people,IKEG Artawan,190957d2
info,registry,people,Imal Zuwak,1283e17b
info,registry,people,KN Chaddha,a88e4013
info,registry,people,Riaz Ur Rahman,476a220a
info,registry,people,S Jegannathan,866e9f3d
info,registry,people,SN Swamy,95382501
info,registry,people,Saeed Ahmed,63d6e16e
info,registry,people,Sedik Sahak,2fca1733
info,registry,people,YS Chauhan,fb3233d4
info,registry,people,Zabiullah Zahid,6d024ce3
info,registry,people,Zaid Ahmad,45828106
info,registry,people,Zain Muzaffar,19b4fa25
