version,2.3.0
info,balls_per_over,6
info,team,Malta
info,team,Gibraltar
info,team_type,international
info,gender,male
info,season,2026
info,date,2026/05/08
info,event,Gibraltar tour of Malta
info,match_id,1531684
info,match_type,T20
info,match_type_number,3843
info,overs,20
info,match_number,4
info,venue,Marsa Sports Club
info,city,Marsa
info,toss_winner,Malta
info,toss_decision,bat
info,player_of_match,Jaspal Singh
info,umpire,N Dhanawade
info,umpire,Vinay Malhotra
info,reserve_umpire,S Gowda
info,target_overs,2,20
info,target_runs,2,199
info,winner,Malta
info,winner_runs,50
info,player,Malta,Mehboob Ali
info,player,Malta,R Dianish
info,player,Malta,Flynn Zahra
info,player,Malta,Jaspal Singh
info,player,Malta,Mohammed Qasim
info,player,Malta,DR Patankar
info,player,Malta,Ajin Soman
info,player,Malta,Imran Ameer
info,player,Malta,J Mathew
info,player,Malta,Salman Sharjeel
info,player,Malta,Adil Latheef
info,player,Gibraltar,BA Pai
info,player,Gibraltar,L Bruce
info,player,Gibraltar,PA Raikes
info,player,Gibraltar,KJ Ferrary
info,player,Gibraltar,IDM Latin
info,player,Gibraltar,K Mirpuri
info,player,Gibraltar,J Wilson
info,player,Gibraltar,M Whelan
info,player,Gibraltar,H Pile
info,player,Gibraltar,S Bodha
info,player,Gibraltar,J Horrocks
info,registry,people,Adil Latheef,2f94b39d
info,registry,people,Ajin Soman,23cbe719
info,registry,people,BA Pai,716bf559
info,registry,people,DR Patankar,e661915c
info,registry,people,Flynn Zahra,b929c3ae
info,registry,people,H Pile,2f3b270e
info,registry,people,IDM Latin,78f719ea
info,registry,people,Imran Ameer,b8e65260
info,registry,people,J Horrocks,1c8cd1c3
info,registry,people,J Mathew,2575caf6
info,registry,people,J Wilson,1a3295a1
info,registry,people,Jaspal Singh,adca37a2
info,registry,people,K Mirpuri,441006af
info,registry,people,KJ Ferrary,81898acc
info,registry,people,L Bruce,2a03bd2f
info,registry,people,M Whelan,d613f046
info,registry,people,Mehboob Ali,f1e0417f
info,registry,people,Mohammed Qasim,a120e81b
info,registry,people,N Dhanawade,bc68912b
info,registry,people,PA Raikes,dfe5db8a
info,registry,people,R Dianish,17e2a2d6
info,registry,people,S Bodha,00467a76
info,registry,people,S Gowda,52f6fb22
info,registry,people,SB Patel,b24e0ffd
info,registry,people,Salman Sharjeel,f9d6cfc6
info,registry,people,Vinay Malhotra,452837d1
