version,2.3.0
info,balls_per_over,6
info,team,Vanuatu
info,team,Indonesia
info,team_type,international
info,gender,male
info,season,2026
info,date,2026/05/16
info,event,ICC Men's T20 World Cup East Asia-Pacific Qualifier
info,match_id,1532655
info,match_type,T20
info,match_type_number,3868
info,overs,20
info,match_number,16
info,venue,Sano International Cricket Ground
info,city,Sano
info,toss_winner,Indonesia
info,toss_decision,field
info,player_of_match,J Rasu
info,umpire,Suresh Subramanian
info,umpire,WR Knights
info,reserve_umpire,Tabarak Dar
info,match_referee,Kent Hannam
info,target_overs,2,20
info,target_runs,2,103
info,winner,Vanuatu
info,winner_runs,1
info,player,Vanuatu,J Rasu
info,player,Vanuatu,C Tommy
info,player,Vanuatu,A Mansale
info,player,Vanuatu,JP Kaltapau
info,player,Vanuatu,N Nipiko
info,player,Vanuatu,N Venables
info,player,Vanuatu,W Wotu
info,player,Vanuatu,PK Matautaava
info,player,Vanuatu,TL Cutler
info,player,Vanuatu,W Nalisa
info,player,Vanuatu,D Wotu
info,player,Indonesia,S Jegannathan
info,player,Indonesia,S Kharvi
info,player,Indonesia,KN Chaddha
info,player,Indonesia,GA Priandana
info,player,Indonesia,KD Kesuma
info,player,Indonesia,Anjar Tadarus
info,player,Indonesia,DJ Hawoe
info,player,Indonesia,IKEG Artawan
info,player,Indonesia,GD Arta
info,player,Indonesia,AA Rahayu
info,player,Indonesia,F Banunaek
info,registry,people,A Mansale,a22b4f3f
info,registry,people,AA Rahayu,2327fdc7
info,registry,people,Anjar Tadarus,72275237
info,registry,people,C Tommy,c6d4cff0
info,registry,people,D Wotu,9585854d
info,registry,people,DJ Hawoe,a62f55ba
info,registry,people,F Banunaek,3c8faed4
info,registry,people,GA Priandana,2af0e3b1
info,registry,people,GD Arta,e969e580
info,registry,people,IKEG Artawan,190957d2
info,registry,people,J Rasu,1021b6e5
info,registry,people,JP Kaltapau,d8dccff5
info,registry,people,KD Kesuma,4b349dc0
info,registry,people,KN Chaddha,a88e4013
info,registry,people,Kent Hannam,8cc171e7
info,registry,people,N Nipiko,c498c510
info,registry,people,N Venables,6f852c49
info,registry,people,PK Matautaava,af19aa66
info,registry,people,S Jegannathan,866e9f3d
info,registry,people,S Kharvi,41a61623
info,registry,people,Suresh Subramanian,4e869e23
info,registry,people,TL Cutler,384fa385
info,registry,people,Tabarak Dar,2259c12d
info,registry,people,W Nalisa,673be48f
info,registry,people,W Wotu,6b25ef46
info,registry,people,WR Knights,63cbf8d8
