version,2.3.0
info,balls_per_over,6
info,team,Ivory Coast
info,team,Mali
info,team_type,international
info,gender,male
info,season,2026
info,date,2026/05/25
info,event,ICC Men's T20 World Cup Sub Regional Africa Qualifier
info,match_id,1535421
info,match_type,T20
info,match_type_number,3909
info,overs,20
info,match_number,9
info,venue,"Botswana Cricket Association Oval 2, Gaborone"
info,city,Gaborone
info,toss_winner,Mali
info,toss_decision,field
info,player_of_match,TM Macalou
info,umpire,F Mutizwa
info,umpire,VR Angara
info,reserve_umpire,LB Gcuma
info,match_referee,S Wadvalla
info,target_overs,2,20
info,target_runs,2,79
info,winner,Mali
info,winner_wickets,6
info,player,Ivory Coast,OK Mohamed
info,player,Ivory Coast,KY Wilfried
info,player,Ivory Coast,AK Roger
info,player,Ivory Coast,KMA Aziz
info,player,Ivory Coast,D Issiaka
info,player,Ivory Coast,MC Alex
info,player,Ivory Coast,GBK Roland
info,player,Ivory Coast,KK Hermann
info,player,Ivory Coast,M Ibrahim
info,player,Ivory Coast,QF Djakaridja
info,player,Ivory Coast,O Issouf
info,player,Mali,TM Macalou
info,player,Mali,Vamshi Reddy
info,player,Mali,AJ Prajapati
info,player,Mali,B Botcha
info,player,Mali,S Kamate
info,player,Mali,S Shailesh
info,player,Mali,SG Diaby
info,player,Mali,Z Makadji
info,player,Mali,Y Konate
info,player,Mali,L Sanogo
info,player,Mali,CA Keita
info,registry,people,AJ Prajapati,3094606e
info,registry,people,AK Roger,1f6f321d
info,registry,people,B Botcha,041db176
info,registry,people,CA Keita,5b9b8d98
info,registry,people,D Issiaka,933b30c9
info,registry,people,F Mutizwa,d3e83eef
info,registry,people,GBK Roland,7f2f7ad9
info,registry,people,KK Hermann,ba3533fe
info,registry,people,KMA Aziz,e8cfd743
info,registry,people,KY Wilfried,5e72608f
info,registry,people,L Sanogo,abbc06cf
info,registry,people,LB Gcuma,02ba88e3
info,registry,people,M Ibrahim,253bc9d8
info,registry,people,MC Alex,3a200eb2
info,registry,people,O Issouf,5d656f48
info,registry,people,OK Mohamed,3cb42681
info,registry,people,QF Djakaridja,9ae09b37
info,registry,people,S Kamate,d7af6207
info,registry,people,S Shailesh,423d2b12
info,registry,people,S Wadvalla,c1a1acf3
info,registry,people,SG Diaby,fe3e9880
info,registry,people,TM Macalou,8a9320a1
info,registry,people,VR Angara,5b7b706f
info,registry,people,Vamshi Reddy,d6f139ee
info,registry,people,Y Konate,5934e1b2
info,registry,people,Z Makadji,7fcaa9f4
