version,2.3.0
info,balls_per_over,6
info,team,Kenya
info,team,Botswana
info,team_type,international
info,gender,male
info,season,2026
info,date,2026/05/29
info,event,ICC Men's T20 World Cup Sub Regional Africa Qualifier
info,match_id,1535430
info,match_type,T20
info,match_type_number,3918
info,overs,20
info,match_number,18
info,venue,"Botswana Cricket Association Oval 2, Gaborone"
info,city,Gaborone
info,toss_winner,Kenya
info,toss_decision,bat
info,player_of_match,SR Bhudia
info,umpire,I Chabi
info,umpire,LB Gcuma
info,reserve_umpire,F Mutizwa
info,match_referee,S Wadvalla
info,target_overs,2,20
info,target_runs,2,194
info,winner,Kenya
info,winner_runs,62
info,player,Kenya,Subham Patel
info,player,Kenya,DM Gondaria
info,player,Kenya,S Singh
info,player,Kenya,SR Bhudia
info,player,Kenya,IA Karim
info,player,Kenya,F Mutua
info,player,Kenya,LN Oluoch
info,player,Kenya,RR Patel
info,player,Kenya,S Gill
info,player,Kenya,SO Ngoche
info,player,Kenya,Vishil Patel
info,player,Botswana,K Motlanka
info,player,Botswana,M Kasselman
info,player,Botswana,R Nehonde
info,player,Botswana,T Tshose
info,player,Botswana,Ameer Saiyed
info,player,Botswana,B van Zyl
info,player,Botswana,P Silas
info,player,Botswana,N Master
info,player,Botswana,K Piet
info,player,Botswana,B Khumalo
info,player,Botswana,M Mooketsi
info,registry,people,Ameer Saiyed,2f22325f
info,registry,people,B Khumalo,33ab1f1c
info,registry,people,B van Zyl,e0a2f58e
info,registry,people,DM Gondaria,9048c17e
info,registry,people,F Mutizwa,d3e83eef
info,registry,people,F Mutua,21b67523
info,registry,people,I Chabi,5e39110e
info,registry,people,IA Karim,ca92a578
info,registry,people,K Motlanka,21549344
info,registry,people,K Piet,39fd9295
info,registry,people,LB Gcuma,02ba88e3
info,registry,people,LN Oluoch,eb4f9c61
info,registry,people,M Kasselman,c6889eb6
info,registry,people,M Mooketsi,008a024c
info,registry,people,N Master,4833efb4
info,registry,people,P Silas,9f2e1944
info,registry,people,R Nehonde,4393e047
info,registry,people,RR Patel,7fa6bd8e
info,registry,people,S Gill,3e6e9a5f
info,registry,people,S Singh,612a395c
info,registry,people,S Wadvalla,c1a1acf3
info,registry,people,SO Ngoche,49118dc7
info,registry,people,SR Bhudia,e9173fb0
info,registry,people,Subham Patel,2a20a333
info,registry,people,T Tshose,18ae55e4
info,registry,people,Vishil Patel,3df8f9d5
