version,2.3.0
info,balls_per_over,6
info,team,Ivory Coast
info,team,Kenya
info,team_type,international
info,gender,male
info,season,2026
info,date,2026/05/30
info,event,ICC Men's T20 World Cup Sub Regional Africa Qualifier
info,match_id,1535432
info,match_type,T20
info,match_type_number,3920
info,overs,20
info,match_number,20
info,venue,"Botswana Cricket Association Oval 2, Gaborone"
info,city,Gaborone
info,toss_winner,Kenya
info,toss_decision,field
info,player_of_match,GM Muthui
info,umpire,E Lassen
info,umpire,I Chabi
info,reserve_umpire,VR Angara
info,match_referee,S Wadvalla
info,target_overs,2,20
info,target_runs,2,19
info,winner,Kenya
info,winner_wickets,9
info,player,Ivory Coast,OK Mohamed
info,player,Ivory Coast,GBK Roland
info,player,Ivory Coast,QF Djakaridja
info,player,Ivory Coast,KK Hermann
info,player,Ivory Coast,O Issouf
info,player,Ivory Coast,D Issiaka
info,player,Ivory Coast,MC Alex
info,player,Ivory Coast,KMA Aziz
info,player,Ivory Coast,K Nagnama
info,player,Ivory Coast,DKJ Claude
info,player,Ivory Coast,M Ibrahim
info,player,Kenya,S Singh
info,player,Kenya,LN Oluoch
info,player,Kenya,N Hirani
info,player,Kenya,GM Muthui
info,player,Kenya,IA Karim
info,player,Kenya,DM Gondaria
info,player,Kenya,P Koech
info,player,Kenya,SR Bhudia
info,player,Kenya,S Gill
info,player,Kenya,SO Ngoche
info,player,Kenya,Vishil Patel
info,registry,people,D Issiaka,933b30c9
info,registry,people,DKJ Claude,096601c5
info,registry,people,DM Gondaria,9048c17e
info,registry,people,E Lassen,a476d6d0
info,registry,people,GBK Roland,7f2f7ad9
info,registry,people,GM Muthui,d7e51f87
info,registry,people,I Chabi,5e39110e
info,registry,people,IA Karim,ca92a578
info,registry,people,K Nagnama,6770bccd
info,registry,people,KK Hermann,ba3533fe
info,registry,people,KMA Aziz,e8cfd743
info,registry,people,LN Oluoch,eb4f9c61
info,registry,people,M Ibrahim,253bc9d8
info,registry,people,MC Alex,3a200eb2
info,registry,people,N Hirani,4d290e7a
info,registry,people,O Issouf,5d656f48
info,registry,people,OK Mohamed,3cb42681
info,registry,people,P Koech,f4a0a615
info,registry,people,QF Djakaridja,9ae09b37
info,registry,people,S Gill,3e6e9a5f
info,registry,people,S Singh,612a395c
info,registry,people,S Wadvalla,c1a1acf3
info,registry,people,SO Ngoche,49118dc7
info,registry,people,SR Bhudia,e9173fb0
info,registry,people,VR Angara,5b7b706f
info,registry,people,Vishil Patel,3df8f9d5
