version,2.3.0
info,balls_per_over,6
info,team,Netherlands
info,team,Bangladesh
info,team_type,international
info,gender,female
info,season,2026
info,date,2026/05/31
info,event,Scotland Women's T20I Tri-Series
info,match_id,1535593
info,match_type,T20
info,match_type_number,2796
info,overs,20
info,match_number,3
info,venue,"Grange Cricket Club Ground, Raeburn Place, Edinburgh"
info,city,Edinburgh
info,toss_winner,Bangladesh
info,toss_decision,field
info,player_of_match,HDJ Siegers
info,umpire,I McDonald
info,umpire,Ryan Milne
info,reserve_umpire,DH Mclean
info,target_overs,2,20
info,target_runs,2,163
info,winner,Netherlands
info,winner_runs,8
info,player,Netherlands,HDJ Siegers
info,player,Netherlands,P Molkenboer
info,player,Netherlands,SL Kalis
info,player,Netherlands,B de Leede
info,player,Netherlands,R Rijke
info,player,Netherlands,S Khurana
info,player,Netherlands,F Overdijk
info,player,Netherlands,IJR Zwilling
info,player,Netherlands,C de Lange
info,player,Netherlands,S Siegers
info,player,Netherlands,I van der Woning
info,player,Bangladesh,Dilara Akter
info,player,Bangladesh,Juairiya Ferdous
info,player,Bangladesh,Sharmin Akhter
info,player,Bangladesh,Nigar Sultana
info,player,Bangladesh,S Mostary
info,player,Bangladesh,Shorna Akter
info,player,Bangladesh,Ritu Moni
info,player,Bangladesh,Rabeya Khan
info,player,Bangladesh,Nahida Akter
info,player,Bangladesh,Fariha Trisna
info,player,Bangladesh,Marufa Akter
info,registry,people,B de Leede,b3020075
info,registry,people,C de Lange,c6a019f5
info,registry,people,DH Mclean,281d4749
info,registry,people,Dilara Akter,f2670a3d
info,registry,people,F Overdijk,022745d5
info,registry,people,Fariha Trisna,7b51bfa4
info,registry,people,HDJ Siegers,6d48df01
info,registry,people,I McDonald,37b55799
info,registry,people,I van der Woning,5aa8574b
info,registry,people,IJR Zwilling,47b32a5a
info,registry,people,Juairiya Ferdous,e6f05a84
info,registry,people,Marufa Akter,a50797a4
info,registry,people,Nahida Akter,66078174
info,registry,people,Nigar Sultana,3827f6a2
info,registry,people,P Molkenboer,fa9db243
info,registry,people,R Rijke,42e4b276
info,registry,people,Rabeya Khan,aaf037b1
info,registry,people,Ritu Moni,ad3940a5
info,registry,people,Ryan Milne,d2343b26
info,registry,people,S Khurana,9a9a056d
info,registry,people,S Mostary,94de63bf
info,registry,people,S Siegers,9a58f2c8
info,registry,people,SL Kalis,2b150c6b
info,registry,people,Sharmin Akhter,84fdd3cf
info,registry,people,Shorna Akter,89895ae1
