version,2.3.0
info,balls_per_over,6
info,team,Bahrain
info,team,Myanmar
info,team_type,international
info,gender,female
info,season,2026
info,date,2026/06/03
info,event,Asian Cricket Council Women's Premier Cup
info,match_id,1536616
info,match_type,T20
info,match_type_number,2805
info,overs,20
info,match_number,5
info,venue,"Bayuemas Oval, Kuala Lumpur"
info,city,Kuala Lumpur
info,toss_winner,Bahrain
info,toss_decision,bat
info,player_of_match,LL Htun
info,umpire,LDVV Silva
info,umpire,V Krithika
info,reserve_umpire,AK Rana
info,match_referee,SR Das
info,target_overs,2,20
info,target_runs,2,65
info,winner,Myanmar
info,winner_wickets,8
info,player,Bahrain,TI Gajanayake
info,player,Bahrain,Abeera Waris
info,player,Bahrain,HMD Rasangika
info,player,Bahrain,Sweeta Corda
info,player,Bahrain,Saee Parkhi
info,player,Bahrain,Sara Vivek
info,player,Bahrain,Reema Naseer
info,player,Bahrain,Sana Butt
info,player,Bahrain,Nipuni Nadeera
info,player,Bahrain,RL D'Souza
info,player,Bahrain,Ashwini Govinda
info,player,Myanmar,KM Myat
info,player,Myanmar,TT Aung
info,player,Myanmar,TT Soe
info,player,Myanmar,LL Htun
info,player,Myanmar,HH Aung
info,player,Myanmar,Wa Thone Nadi
info,player,Myanmar,Zon Lin
info,player,Myanmar,MPP San
info,player,Myanmar,ZL Win
info,player,Myanmar,Pan Ei Phyu
info,player,Myanmar,Moe Ei Phyu
info,registry,people,AK Rana,562d74d0
info,registry,people,Abeera Waris,01396dc6
info,registry,people,Ashwini Govinda,5581a471
info,registry,people,HH Aung,860042f6
info,registry,people,HMD Rasangika,d6f9dfd6
info,registry,people,KM Myat,c1b4e25c
info,registry,people,LDVV Silva,6e226c31
info,registry,people,LL Htun,ec687c3a
info,registry,people,MPP San,5bc290a2
info,registry,people,Moe Ei Phyu,34f0c9ad
info,registry,people,Nipuni Nadeera,9e193ebd
info,registry,people,Pan Ei Phyu,9fcaeb60
info,registry,people,RL D'Souza,2d0b7057
info,registry,people,Reema Naseer,6b999fbe
info,registry,people,SR Das,f4e52218
info,registry,people,Saee Parkhi,b60682f2
info,registry,people,Sana Butt,0f49b970
info,registry,people,Sara Vivek,8ff4ef0e
info,registry,people,Sweeta Corda,3ab9a451
info,registry,people,TI Gajanayake,d577d45a
info,registry,people,TT Aung,57fb24e6
info,registry,people,TT Soe,59f44fde
info,registry,people,V Krithika,bcbb203c
info,registry,people,Wa Thone Nadi,037734ad
info,registry,people,ZL Win,b5714cf9
info,registry,people,Zon Lin,3b492b8d
