version,2.3.0
info,balls_per_over,6
info,team,Philippines
info,team,Saudi Arabia
info,team_type,international
info,gender,female
info,season,2026
info,date,2026/06/04
info,event,Asian Cricket Council Women's Premier Cup
info,match_id,1536625
info,match_type,T20
info,match_type_number,2816
info,overs,20
info,match_number,14
info,venue,"YSD-UKM Cricket Oval, Bangi"
info,city,Bangi
info,toss_winner,Philippines
info,toss_decision,bat
info,player_of_match,KK Donovan
info,umpire,Rokeya Sultana
info,umpire,V Krithika
info,reserve_umpire,Nur Hijrah
info,match_referee,SR Das
info,target_overs,2,20
info,target_runs,2,204
info,winner,Philippines
info,winner_runs,133
info,player,Philippines,AR Valdez
info,player,Philippines,Elyza Wall
info,player,Philippines,Karri Gullem Keen
info,player,Philippines,KK Donovan
info,player,Philippines,Zoe Isabela Wong
info,player,Philippines,JR Medianesta
info,player,Philippines,SF Sirah
info,player,Philippines,JKD Andreano
info,player,Philippines,R Castillo
info,player,Philippines,Kyte Gullem Keen
info,player,Philippines,JY Masaya
info,player,Saudi Arabia,Mashael Waqas
info,player,Saudi Arabia,Najwa Akram
info,player,Saudi Arabia,Abeer Maryam
info,player,Saudi Arabia,Nimra Ghazanfar
info,player,Saudi Arabia,Maheen Aamir
info,player,Saudi Arabia,Sara
info,player,Saudi Arabia,Afshan Khan
info,player,Saudi Arabia,Ashmal Hashmi
info,player,Saudi Arabia,Mah Noor Amir
info,player,Saudi Arabia,Laiba
info,player,Saudi Arabia,Mah Noor
info,registry,people,AR Valdez,3c3f34b0
info,registry,people,Abeer Maryam,8067b378
info,registry,people,Afshan Khan,5dfbb8ae
info,registry,people,Ashmal Hashmi,9eaf6e16
info,registry,people,Elyza Wall,bbb5073b
info,registry,people,JKD Andreano,757baa30
info,registry,people,JR Medianesta,538cb58a
info,registry,people,JY Masaya,44368e16
info,registry,people,KK Donovan,ef2a7af4
info,registry,people,Karri Gullem Keen,bb7b014a
info,registry,people,Kyte Gullem Keen,f3f654c2
info,registry,people,Laiba,963b1a9d
info,registry,people,Mah Noor,1252c950
info,registry,people,Mah Noor Amir,e95cf4f8
info,registry,people,Maheen Aamir,0246f4c3
info,registry,people,Mashael Waqas,7ea926c6
info,registry,people,Najwa Akram,a1cb1472
info,registry,people,Nimra Ghazanfar,9b2159a6
info,registry,people,Nur Hijrah,6c068720
info,registry,people,R Castillo,716ba9ef
info,registry,people,Rokeya Sultana,20abf9b9
info,registry,people,SF Sirah,48bd237f
info,registry,people,SR Das,f4e52218
info,registry,people,Sara,2c78e246
info,registry,people,V Krithika,bcbb203c
info,registry,people,Zoe Isabela Wong,e0460748
