version,2.3.0
info,balls_per_over,6
info,team,Hong Kong
info,team,Qatar
info,team_type,international
info,gender,female
info,season,2026
info,date,2026/06/04
info,event,Asian Cricket Council Women's Premier Cup
info,match_id,1536627
info,match_type,T20
info,match_type_number,2818
info,overs,20
info,match_number,16
info,venue,"Kolej Tuanku Jaafar Cricket Oval, Mantin"
info,city,Mantin
info,toss_winner,Qatar
info,toss_decision,field
info,player_of_match,Y Daswani
info,umpire,AS Guha
info,umpire,Sun Meng Yao
info,reserve_umpire,Mathan Kumar
info,match_referee,Edwin Seah
info,target_overs,2,20
info,target_runs,2,165
info,winner,Hong Kong
info,winner_runs,83
info,player,Hong Kong,NT Miles
info,player,Hong Kong,M Hill
info,player,Hong Kong,Y Daswani
info,player,Hong Kong,KY Chan
info,player,Hong Kong,M Bibi
info,player,Hong Kong,MBA Lamplough
info,player,Hong Kong,M Wai Siu
info,player,Hong Kong,Ruchitha Venkatesh
info,player,Hong Kong,Shanzeen Shahzad
info,player,Hong Kong,Iqra Sahar
info,player,Hong Kong,Joyleen Kaur
info,player,Qatar,Fatima Mukadam
info,player,Qatar,SK Rana
info,player,Qatar,S Krisheta
info,player,Qatar,Sargam Patel
info,player,Qatar,Shahreeennawab
info,player,Qatar,Aysha
info,player,Qatar,G Candiru
info,player,Qatar,Jaza Mariyam
info,player,Qatar,Roshni Sebastian
info,player,Qatar,Khadija Imtiaz
info,player,Qatar,MT Jacob
info,registry,people,AS Guha,c21b184d
info,registry,people,Aysha,37ceee4e
info,registry,people,Edwin Seah,be24f868
info,registry,people,Fatima Mukadam,5839f265
info,registry,people,G Candiru,fc2150f4
info,registry,people,Iqra Sahar,aaccb8ca
info,registry,people,Jaza Mariyam,29254752
info,registry,people,Joyleen Kaur,8ea44a61
info,registry,people,KY Chan,6348c6e9
info,registry,people,Khadija Imtiaz,1438d928
info,registry,people,M Bibi,34f86a2d
info,registry,people,M Hill,bf5e7711
info,registry,people,M Wai Siu,74eecff4
info,registry,people,MBA Lamplough,997fffbe
info,registry,people,MT Jacob,f1750a74
info,registry,people,Mathan Kumar,da596754
info,registry,people,NT Miles,d27d0835
info,registry,people,Roshni Sebastian,417bde11
info,registry,people,Ruchitha Venkatesh,106135f5
info,registry,people,S Krisheta,41bb77bc
info,registry,people,SK Rana,47884f8e
info,registry,people,Sargam Patel,cad52f7c
info,registry,people,Shahreeennawab,faa8843f
info,registry,people,Shanzeen Shahzad,ce291858
info,registry,people,Sun Meng Yao,84a96566
info,registry,people,Y Daswani,2038a273
