version,2.3.0
info,balls_per_over,6
info,team,Philippines
info,team,China
info,team_type,international
info,gender,female
info,season,2026
info,date,2026/06/06
info,event,Asian Cricket Council Women's Premier Cup
info,match_id,1536629
info,match_type,T20
info,match_type_number,2821
info,overs,20
info,match_number,18
info,venue,"YSD-UKM Cricket Oval, Bangi"
info,city,Bangi
info,toss_winner,Philippines
info,toss_decision,bat
info,player_of_match,Wang Huiying
info,umpire,AS Guha
info,umpire,LDVV Silva
info,reserve_umpire,L Poobalan
info,match_referee,Edwin Seah
info,target_overs,2,20
info,target_runs,2,104
info,winner,China
info,winner_wickets,8
info,player,Philippines,AR Valdez
info,player,Philippines,Elyza Wall
info,player,Philippines,Karri Gullem Keen
info,player,Philippines,KK Donovan
info,player,Philippines,R Castillo
info,player,Philippines,SF Sirah
info,player,Philippines,Zoe Isabela Wong
info,player,Philippines,JKD Andreano
info,player,Philippines,Kyte Gullem Keen
info,player,Philippines,JR Medianesta
info,player,Philippines,JY Masaya
info,player,China,Jiaping Li
info,player,China,Wang Huiying
info,player,China,Cai Yuzhi
info,player,China,M Zhu
info,player,China,Zhao Yihan
info,player,China,Gong Yuting
info,player,China,Chen Xinyu
info,player,China,Ma Ruike
info,player,China,Wei Haiting
info,player,China,F Qian
info,player,China,Hong Yali
info,registry,people,AR Valdez,3c3f34b0
info,registry,people,AS Guha,c21b184d
info,registry,people,Cai Yuzhi,80d30c5f
info,registry,people,Chen Xinyu,b2cd8abe
info,registry,people,Edwin Seah,be24f868
info,registry,people,Elyza Wall,bbb5073b
info,registry,people,F Qian,39f01c3d
info,registry,people,Gong Yuting,edcd847a
info,registry,people,Hong Yali,a375ac64
info,registry,people,JKD Andreano,757baa30
info,registry,people,JR Medianesta,538cb58a
info,registry,people,JY Masaya,44368e16
info,registry,people,Jiaping Li,35cac794
info,registry,people,KK Donovan,ef2a7af4
info,registry,people,Karri Gullem Keen,bb7b014a
info,registry,people,Kyte Gullem Keen,f3f654c2
info,registry,people,L Poobalan,93cc9718
info,registry,people,LDVV Silva,6e226c31
info,registry,people,M Zhu,36c3302e
info,registry,people,Ma Ruike,8ccef7e2
info,registry,people,R Castillo,716ba9ef
info,registry,people,SF Sirah,48bd237f
info,registry,people,Wang Huiying,c84a3e06
info,registry,people,Wei Haiting,a1e30490
info,registry,people,Zhao Yihan,a9cd14fc
info,registry,people,Zoe Isabela Wong,e0460748
