version,2.3.0
info,balls_per_over,6
info,team,Saudi Arabia
info,team,Oman
info,team_type,international
info,gender,female
info,season,2026
info,date,2026/06/06
info,event,Asian Cricket Council Women's Premier Cup
info,match_id,1536633
info,match_type,T20
info,match_type_number,2825
info,overs,20
info,match_number,22
info,venue,"YSD-UKM Cricket Oval, Bangi"
info,city,Bangi
info,toss_winner,Oman
info,toss_decision,field
info,player_of_match,PE Mendonca
info,umpire,AS Guha
info,umpire,LDVV Silva
info,reserve_umpire,L Poobalan
info,match_referee,Edwin Seah
info,target_overs,2,20
info,target_runs,2,39
info,winner,Oman
info,winner_wickets,10
info,player,Saudi Arabia,Mashael Waqas
info,player,Saudi Arabia,Abeer Maryam
info,player,Saudi Arabia,Najwa Akram
info,player,Saudi Arabia,Sara
info,player,Saudi Arabia,Laiba
info,player,Saudi Arabia,Nimra Ghazanfar
info,player,Saudi Arabia,Maheen Aamir
info,player,Saudi Arabia,Usrah Umar Farooq
info,player,Saudi Arabia,Ashmal Hashmi
info,player,Saudi Arabia,Mah Noor
info,player,Saudi Arabia,Laiba Nasrullah
info,player,Oman,J Gunasekar
info,player,Oman,N Joshi
info,player,Oman,Fiza
info,player,Oman,PE Mendonca
info,player,Oman,Sameera Khan
info,player,Oman,A Dcosta
info,player,Oman,CM Saldanha
info,player,Oman,Alifiya Sayed
info,player,Oman,Afida Afthab
info,player,Oman,Javed Hina
info,player,Oman,Lujaina
info,registry,people,A Dcosta,3a4d914f
info,registry,people,AS Guha,c21b184d
info,registry,people,Abeer Maryam,8067b378
info,registry,people,Afida Afthab,9446598e
info,registry,people,Alifiya Sayed,81423620
info,registry,people,Ashmal Hashmi,9eaf6e16
info,registry,people,CM Saldanha,aee1bc06
info,registry,people,Edwin Seah,be24f868
info,registry,people,Fiza,c7c60bc5
info,registry,people,J Gunasekar,e50c13a5
info,registry,people,Javed Hina,a487762e
info,registry,people,L Poobalan,93cc9718
info,registry,people,LDVV Silva,6e226c31
info,registry,people,Laiba,963b1a9d
info,registry,people,Laiba Nasrullah,e7a3e3a0
info,registry,people,Lujaina,76a3af9b
info,registry,people,Mah Noor,1252c950
info,registry,people,Maheen Aamir,0246f4c3
info,registry,people,Mashael Waqas,7ea926c6
info,registry,people,N Joshi,cfece11f
info,registry,people,Najwa Akram,a1cb1472
info,registry,people,Nimra Ghazanfar,9b2159a6
info,registry,people,PE Mendonca,70bab30b
info,registry,people,Sameera Khan,237baa2c
info,registry,people,Sara,2c78e246
info,registry,people,Usrah Umar Farooq,0d0b8575
