version,2.3.0
info,balls_per_over,6
info,team,United Arab Emirates
info,team,Thailand
info,gender,female
info,team_type,international
info,season,2026
info,date,2026/06/13
info,match_id,1536651
info,match_type,T20
info,match_type_number,2849
info,overs,20
info,event,Asian Cricket Council Women's Premier Cup
info,venue,"Bayuemas Oval, Kuala Lumpur"
info,city,Kuala Lumpur
info,toss_winner,Thailand
info,toss_decision,field
info,player_of_match,N Koncharoenkai
info,umpire,LDVV Silva
info,umpire,Saleema Imtiaz
info,reserve_umpire,Afia Amin
info,tv_umpire,Rokeya Sultana
info,match_referee,VR Nagre
info,target_overs,2,20
info,target_runs,2,96
info,winner,Thailand
info,winner_wickets,6
info,player,United Arab Emirates,ER Oza
info,player,United Arab Emirates,Theertha Satish
info,player,United Arab Emirates,H Hotchandani
info,player,United Arab Emirates,S Dharnidharka
info,player,United Arab Emirates,Rinitha Rajith
info,player,United Arab Emirates,L Keny
info,player,United Arab Emirates,MP Kulkarni
info,player,United Arab Emirates,KC Thompson
info,player,United Arab Emirates,Vaishnave Mahesh
info,player,United Arab Emirates,ATS Silva
info,player,United Arab Emirates,S Kotte
info,player,Thailand,N Chantam
info,player,Thailand,P Maya
info,player,Thailand,N Koncharoenkai
info,player,Thailand,N Chaiwai
info,player,Thailand,C Sutthiruang
info,player,Thailand,A Suwanchonrathi
info,player,Thailand,T Putthawong
info,player,Thailand,S Chaturongrattana
info,player,Thailand,O Kamchomphu
info,player,Thailand,S Laomi
info,player,Thailand,N Chaihan
info,registry,people,A Suwanchonrathi,43a2244f
info,registry,people,ATS Silva,9ca533cc
info,registry,people,Afia Amin,7fc47de1
info,registry,people,C Sutthiruang,f6ddfe08
info,registry,people,ER Oza,fdc6b34d
info,registry,people,H Hotchandani,f537d39c
info,registry,people,KC Thompson,e381ae69
info,registry,people,L Keny,aea89d48
info,registry,people,LDVV Silva,6e226c31
info,registry,people,MP Kulkarni,418787e5
info,registry,people,N Chaihan,61b60bb3
info,registry,people,N Chaiwai,0825e4b3
info,registry,people,N Chantam,b5626ff7
info,registry,people,N Koncharoenkai,82c78412
info,registry,people,O Kamchomphu,519b872a
info,registry,people,P Maya,72eada4c
info,registry,people,Rinitha Rajith,36ba7f0b
info,registry,people,Rokeya Sultana,20abf9b9
info,registry,people,S Chaturongrattana,bd36bc39
info,registry,people,S Dharnidharka,f8b50da3
info,registry,people,S Kotte,6c8904c8
info,registry,people,S Laomi,4b15618c
info,registry,people,Saleema Imtiaz,d17d21d5
info,registry,people,T Putthawong,23e3f2d6
info,registry,people,Theertha Satish,ee3dcb3f
info,registry,people,VR Nagre,fadaac76
info,registry,people,Vaishnave Mahesh,31c56f40
