version,2.3.0
info,balls_per_over,6
info,team,Zimbabwe
info,team,Bangladesh
info,gender,male
info,team_type,international
info,season,2026
info,date,2026/07/19
info,match_id,1538303
info,match_type,T20
info,match_type_number,4038
info,overs,20
info,event,Bangladesh tour of Zimbabwe
info,match_number,3
info,venue,"Queens Sports Club, Bulawayo"
info,city,Bulawayo
info,toss_winner,Zimbabwe
info,toss_decision,bat
info,player_of_match,Tanzid Hasan
info,umpire,F Mutizwa
info,umpire,P Sizara
info,reserve_umpire,I Chabi
info,tv_umpire,L Rusere
info,match_referee,Dave Gilbert
info,target_overs,2,20
info,target_runs,2,144
info,winner,Bangladesh
info,winner_wickets,4
info,player,Zimbabwe,BJ Bennett
info,player,Zimbabwe,T Marumani
info,player,Zimbabwe,D Myers
info,player,Zimbabwe,Sikandar Raza
info,player,Zimbabwe,RP Burl
info,player,Zimbabwe,B Evans
info,player,Zimbabwe,C Madande
info,player,Zimbabwe,M Shumba
info,player,Zimbabwe,TT Maposa
info,player,Zimbabwe,R Ngarava
info,player,Zimbabwe,B Muzarabani
info,player,Bangladesh,Saif Hassan
info,player,Bangladesh,Tanzid Hasan
info,player,Bangladesh,Parvez Hossain Emon
info,player,Bangladesh,Towhid Hridoy
info,player,Bangladesh,Yasir Ali Chowdhury
info,player,Bangladesh,Mosaddek Hossain
info,player,Bangladesh,Mohammad Saifuddin
info,player,Bangladesh,Mahedi Hasan
info,player,Bangladesh,Rishad Hossain
info,player,Bangladesh,Taskin Ahmed
info,player,Bangladesh,Abdul Gaffar Saqlain
info,registry,people,Abdul Gaffar Saqlain,62a99934
info,registry,people,B Evans,e7e86505
info,registry,people,B Muzarabani,449f4e3c
info,registry,people,BJ Bennett,eaa36b2a
info,registry,people,C Madande,3560a786
info,registry,people,D Myers,d96165b5
info,registry,people,Dave Gilbert,aa782370
info,registry,people,F Mutizwa,d3e83eef
info,registry,people,I Chabi,5e39110e
info,registry,people,L Rusere,6a4734ae
info,registry,people,M Shumba,6766ca00
info,registry,people,Mahedi Hasan,9dad0f2e
info,registry,people,Mohammad Saifuddin,b3a28446
info,registry,people,Mosaddek Hossain,8919756f
info,registry,people,P Sizara,5d45bb7f
info,registry,people,Parvez Hossain Emon,489aaf0a
info,registry,people,R Ngarava,6e3f5a5c
info,registry,people,RP Burl,b08252b8
info,registry,people,Rishad Hossain,5935d694
info,registry,people,Saif Hassan,bb95564b
info,registry,people,Sikandar Raza,26d041c4
info,registry,people,T Marumani,3d5d51a5
info,registry,people,TT Maposa,5feead83
info,registry,people,Tanzid Hasan,80fe764d
info,registry,people,Taskin Ahmed,ef18b66e
info,registry,people,Towhid Hridoy,9e52a414
info,registry,people,Yasir Ali Chowdhury,5791b840
