version,2.3.0
info,balls_per_over,6
info,team,Singapore
info,team,Hong Kong
info,team_type,international
info,gender,male
info,season,2026
info,date,2026/06/03
info,event,Asian Games Men's Qualifier
info,match_id,1538447
info,match_type,T20
info,match_type_number,3929
info,overs,20
info,match_number,6
info,venue,Singapore National Cricket Ground
info,city,Singapore
info,toss_winner,Singapore
info,toss_decision,bat
info,player_of_match,Mohammad Ghazanfar
info,umpire,N Sivan
info,umpire,Samad Akbar
info,reserve_umpire,Riaz Ur Rahman
info,match_referee,T Senthil Kumar
info,target_overs,2,20
info,target_runs,2,62
info,winner,Hong Kong
info,winner_wickets,9
info,player,Singapore,R Gaznavi
info,player,Singapore,M Bhatia
info,player,Singapore,Aslan Jafri
info,player,Singapore,Chamalka Fernando
info,player,Singapore,G Gune
info,player,Singapore,NR Mittal
info,player,Singapore,J Santhanam
info,player,Singapore,VT Thiyanesh
info,player,Singapore,H Bharadwaj
info,player,Singapore,NA Karnik
info,player,Singapore,K Venkatraman
info,player,Hong Kong,Nizakat Khan
info,player,Hong Kong,Anshuman Rath
info,player,Hong Kong,Babar Hayat
info,player,Hong Kong,Yasim Murtaza
info,player,Hong Kong,Ehsan Khan
info,player,Hong Kong,A Shukla
info,player,Hong Kong,Shahid Wasif
info,player,Hong Kong,Mohammad Ghazanfar
info,player,Hong Kong,Nasrulla Rana
info,player,Hong Kong,S Mathur
info,player,Hong Kong,Hassan Khan Mohammad
info,registry,people,A Shukla,a1e80d06
info,registry,people,Anshuman Rath,552b228c
info,registry,people,Aslan Jafri,a14b5f3c
info,registry,people,Babar Hayat,fbb657bb
info,registry,people,Chamalka Fernando,cedf2c91
info,registry,people,Ehsan Khan,d3851cd8
info,registry,people,G Gune,5491a9ff
info,registry,people,H Bharadwaj,2e89652e
info,registry,people,Hafeez Khan,aa45ea62
info,registry,people,Hassan Khan Mohammad,a46de6e0
info,registry,people,J Santhanam,4f1d3f68
info,registry,people,K Venkatraman,a6881817
info,registry,people,M Bhatia,22bdbba3
info,registry,people,Mohammad Ghazanfar,00321fff
info,registry,people,N Sivan,8f4a0102
info,registry,people,NA Karnik,835a58da
info,registry,people,NR Mittal,0e84e0f6
info,registry,people,Nasrulla Rana,9ffb7550
info,registry,people,Nizakat Khan,e3eb9e46
info,registry,people,R Gaznavi,0079f139
info,registry,people,Riaz Ur Rahman,476a220a
info,registry,people,S Mathur,11378dda
info,registry,people,Samad Akbar,f05bd21b
info,registry,people,Shahid Wasif,2cc08c3c
info,registry,people,T Senthil Kumar,961ddfac
info,registry,people,VT Thiyanesh,e1d2c0bf
info,registry,people,Yasim Murtaza,c9d05f1a
