version,2.3.0
info,balls_per_over,6
info,team,Oman
info,team,Nepal
info,team_type,international
info,gender,male
info,season,2026
info,date,2026/06/07
info,event,Asian Games Men's Qualifier
info,match_id,1538452
info,match_type,T20
info,match_type_number,3939
info,overs,20
info,venue,Singapore National Cricket Ground
info,city,Singapore
info,toss_winner,Oman
info,toss_decision,bat
info,player_of_match,Karan KC
info,umpire,John Prakash
info,umpire,N Sivan
info,reserve_umpire,U Dorji
info,match_referee,T Senthil Kumar
info,target_overs,2,20
info,target_runs,2,95
info,winner,Nepal
info,winner_wickets,8
info,player,Oman,Mohammed Al Balushi
info,player,Oman,Shuaib Al Balushi
info,player,Oman,Nawed Al Balushi
info,player,Oman,Zubair Al Balushi
info,player,Oman,Sufyan Mehmood
info,player,Oman,Rashad Al Balushi
info,player,Oman,Muzaffar Shiralkar
info,player,Oman,Abdul Jalil
info,player,Oman,Issa Al Balushi
info,player,Oman,Wasim Al Balushi
info,player,Oman,Sameer Othman
info,player,Nepal,K Bhurtel
info,player,Nepal,Aasif Sheikh
info,player,Nepal,RK Paudel
info,player,Nepal,Lokesh Bam
info,player,Nepal,Aarif Sheikh
info,player,Nepal,S Lamichhane
info,player,Nepal,Sompal Kami
info,player,Nepal,Karan KC
info,player,Nepal,DS Airee
info,player,Nepal,Kushal Malla
info,player,Nepal,Shahab Alam
info,registry,people,Aarif Sheikh,cd4d7695
info,registry,people,Aasif Sheikh,dcbea954
info,registry,people,Abdul Jalil,92aaa31d
info,registry,people,DS Airee,1747ea18
info,registry,people,Issa Al Balushi,91cdf3ae
info,registry,people,John Prakash,b5f3d429
info,registry,people,K Bhurtel,e3386c8a
info,registry,people,Karan KC,f53b3e1d
info,registry,people,Kushal Malla,7e9f1cde
info,registry,people,Lokesh Bam,75c8a26b
info,registry,people,Mohammed Al Balushi,967ee086
info,registry,people,Muzaffar Shiralkar,d9d08ea3
info,registry,people,N Sivan,8f4a0102
info,registry,people,Nawed Al Balushi,1b6aafc8
info,registry,people,RK Paudel,1a3cc554
info,registry,people,Rashad Al Balushi,bb301758
info,registry,people,S Lamichhane,b410bd3d
info,registry,people,Sameer Othman,874c2cb3
info,registry,people,Shahab Alam,cdd9fa95
info,registry,people,Shuaib Al Balushi,87968c84
info,registry,people,Sompal Kami,1adb8ee8
info,registry,people,Sufyan Mehmood,bf172ae6
info,registry,people,T Senthil Kumar,961ddfac
info,registry,people,U Dorji,12bba2d4
info,registry,people,Wasim Al Balushi,385bb7ff
info,registry,people,Zubair Al Balushi,9d5440c0
