version,2.3.0
info,balls_per_over,6
info,team,Hong Kong
info,team,Nepal
info,team_type,international
info,gender,male
info,season,2026
info,date,2026/06/08
info,event,Asian Games Men's Qualifier
info,match_id,1538455
info,match_type,T20
info,match_type_number,3944
info,overs,20
info,venue,Singapore National Cricket Ground
info,city,Singapore
info,toss_winner,Nepal
info,toss_decision,field
info,player_of_match,S Malla
info,umpire,A Natarajan
info,umpire,Samad Akbar
info,reserve_umpire,N Sivan
info,match_referee,T Senthil Kumar
info,target_overs,2,11.3
info,target_runs,2,96
info,winner,Nepal
info,winner_runs,19
info,method,D/L
info,player,Hong Kong,Nizakat Khan
info,player,Hong Kong,Anshuman Rath
info,player,Hong Kong,Babar Hayat
info,player,Hong Kong,S Mathur
info,player,Hong Kong,Shahid Wasif
info,player,Hong Kong,Yasim Murtaza
info,player,Hong Kong,Nasrulla Rana
info,player,Hong Kong,Hassan Khan Mohammad
info,player,Hong Kong,Ehsan Khan
info,player,Hong Kong,A Shukla
info,player,Hong Kong,Mohammad Ghazanfar
info,player,Nepal,K Bhurtel
info,player,Nepal,Aasif Sheikh
info,player,Nepal,RK Paudel
info,player,Nepal,DS Airee
info,player,Nepal,Kushal Malla
info,player,Nepal,S Jora
info,player,Nepal,Lokesh Bam
info,player,Nepal,Karan KC
info,player,Nepal,Sompal Kami
info,player,Nepal,S Lamichhane
info,player,Nepal,S Malla
info,registry,people,A Natarajan,a2b73ae0
info,registry,people,A Shukla,a1e80d06
info,registry,people,Aasif Sheikh,dcbea954
info,registry,people,Anshuman Rath,552b228c
info,registry,people,Babar Hayat,fbb657bb
info,registry,people,DS Airee,1747ea18
info,registry,people,Ehsan Khan,d3851cd8
info,registry,people,Hassan Khan Mohammad,a46de6e0
info,registry,people,K Bhurtel,e3386c8a
info,registry,people,Karan KC,f53b3e1d
info,registry,people,Kushal Malla,7e9f1cde
info,registry,people,Lokesh Bam,75c8a26b
info,registry,people,Mohammad Ghazanfar,00321fff
info,registry,people,N Sivan,8f4a0102
info,registry,people,Nasrulla Rana,9ffb7550
info,registry,people,Nizakat Khan,e3eb9e46
info,registry,people,RK Paudel,1a3cc554
info,registry,people,S Jora,156378d8
info,registry,people,S Lamichhane,b410bd3d
info,registry,people,S Malla,1daa8927
info,registry,people,S Mathur,11378dda
info,registry,people,Samad Akbar,f05bd21b
info,registry,people,Shahid Wasif,2cc08c3c
info,registry,people,Sompal Kami,1adb8ee8
info,registry,people,T Senthil Kumar,961ddfac
info,registry,people,Yasim Murtaza,c9d05f1a
