version,2.3.0
info,balls_per_over,6
info,team,Norway
info,team,Sweden
info,gender,male
info,team_type,international
info,season,2026
info,date,2026/06/11
info,match_id,1539464
info,match_type,T20
info,match_type_number,3945
info,overs,20
info,event,Viking Cup
info,match_number,1
info,venue,"Botkyrka Cricket Center, Stockholm"
info,city,Stockholm
info,toss_winner,Sweden
info,toss_decision,field
info,player_of_match,W Boshoff
info,umpire,Bilal Munir
info,umpire,SB Ravindra
info,target_overs,2,20
info,target_runs,2,138
info,winner,Sweden
info,winner_wickets,5
info,player,Norway,Khizer Ahmed
info,player,Norway,D Asghar
info,player,Norway,Walid Ghauri
info,player,Norway,Saif-Ul Islam
info,player,Norway,Chaudhary Akram
info,player,Norway,Faisal Raza
info,player,Norway,Ibrahim Rahimi
info,player,Norway,Qamar Mushtaque
info,player,Norway,M Shahbaz Butt
info,player,Norway,Ahmadullah Shinwari
info,player,Norway,AJ Parmar
info,player,Sweden,Imal Zuwak
info,player,Sweden,A Mundra
info,player,Sweden,Saeed Ahmed
info,player,Sweden,Zaid Ahmad
info,player,Sweden,YS Chauhan
info,player,Sweden,W Boshoff
info,player,Sweden,Hamid Mahmood
info,player,Sweden,A Dhabe
info,player,Sweden,Abdul Naser Baluch
info,player,Sweden,Samiullah Rahmani
info,player,Sweden,Zabiullah Zahid
info,registry,people,A Dhabe,5a0dbdeb
info,registry,people,A Mundra,30ffaf85
info,registry,people,AJ Parmar,94113d54
info,registry,people,Abdul Naser Baluch,6a88d66d
info,registry,people,Ahmadullah Shinwari,e068d48e
info,registry,people,Bilal Munir,c35c63b9
info,registry,people,Chaudhary Akram,3e697d4a
info,registry,people,D Asghar,052b014c
info,registry,people,DB Lakhani,03adc956
info,registry,people,Faisal Raza,dccb802c
info,registry,people,Hamid Mahmood,5332fc2f
info,registry,people,Ibrahim Rahimi,f8ef3653
info,registry,people,Imal Zuwak,1283e17b
info,registry,people,Khizer Ahmed,723ca856
info,registry,people,M Shahbaz Butt,5ef3c310
info,registry,people,Qamar Mushtaque,fc362c5d
info,registry,people,SB Ravindra,394ba7a8
info,registry,people,Saeed Ahmed,63d6e16e
info,registry,people,Saif-Ul Islam,1f3d7990
info,registry,people,Samiullah Rahmani,d5c38041
info,registry,people,W Boshoff,cad11a02
info,registry,people,Walid Ghauri,331e137f
info,registry,people,YS Chauhan,fb3233d4
info,registry,people,Zabiullah Zahid,6d024ce3
info,registry,people,Zaid Ahmad,45828106
