version,2.3.0
info,balls_per_over,6
info,team,Bahamas
info,team,Bermuda
info,gender,male
info,team_type,international
info,season,2026
info,date,2026/06/21
info,match_id,1539730
info,match_type,T20
info,match_type_number,3976
info,overs,20
info,event,ICC World Twenty20 Americas Sub Regional Qualifier A
info,match_number,2
info,venue,"White Hill Field, Sandys Parish"
info,city,Hamilton
info,toss_winner,Bahamas
info,toss_decision,bat
info,umpire,A Gajjar
info,umpire,P Manning
info,reserve_umpire,Zahid Bassarath
info,match_referee,Reon King
info,outcome,no result
info,player,Bahamas,GT Taylor
info,player,Bahamas,Festus Benn
info,player,Bahamas,J Jemison
info,player,Bahamas,A Gulati
info,player,Bahamas,S Fowler
info,player,Bahamas,D Wheatley
info,player,Bahamas,G Irvin
info,player,Bahamas,JR Barry
info,player,Bahamas,K Burrows
info,player,Bahamas,R Patten
info,player,Bahamas,O Howell
info,player,Bermuda,Amari Ebbin
info,player,Bermuda,DMW Rawlins
info,player,Bermuda,L Horan
info,player,Bermuda,S Smith
info,player,Bermuda,Z Burgess
info,player,Bermuda,Isaiah O'Brien
info,player,Bermuda,C Trott
info,player,Bermuda,D Sabir
info,player,Bermuda,J Proctor
info,player,Bermuda,OGL Bascome
info,player,Bermuda,T Manders
info,registry,people,A Gajjar,37db06ef
info,registry,people,A Gulati,82903f3a
info,registry,people,Amari Ebbin,140ac7ad
info,registry,people,C Trott,ae624b05
info,registry,people,D Sabir,04bc296f
info,registry,people,D Wheatley,04539335
info,registry,people,DMW Rawlins,f1eb3c73
info,registry,people,Festus Benn,de6b3760
info,registry,people,G Irvin,17530fd9
info,registry,people,GT Taylor,c674f722
info,registry,people,Isaiah O'Brien,967801f4
info,registry,people,J Jemison,ce1abd25
info,registry,people,J Proctor,01b0d0a4
info,registry,people,JR Barry,9bc324b5
info,registry,people,K Burrows,f11f5a92
info,registry,people,L Horan,16d43e12
info,registry,people,O Howell,d62811d2
info,registry,people,OGL Bascome,94a1827c
info,registry,people,P Manning,f06b5585
info,registry,people,R Patten,4437df8c
info,registry,people,Reon King,20fbf68c
info,registry,people,S Fowler,78df631a
info,registry,people,S Smith,18a0ba24
info,registry,people,T Manders,6d2b9724
info,registry,people,Z Burgess,d0042e16
info,registry,people,Zahid Bassarath,ca6bf044
