version,2.3.0
info,balls_per_over,6
info,team,Belize
info,team,Bermuda
info,gender,male
info,team_type,international
info,season,2026
info,date,2026/06/22
info,match_id,1539731
info,match_type,T20
info,match_type_number,3979
info,overs,20
info,event,ICC World Twenty20 Americas Sub Regional Qualifier A
info,match_number,3
info,venue,"White Hill Field, Sandys Parish"
info,city,Hamilton
info,toss_winner,Bermuda
info,toss_decision,field
info,umpire,P Manning
info,umpire,Zahid Bassarath
info,reserve_umpire,A Gajjar
info,match_referee,Reon King
info,target_overs,2,12
info,target_runs,2,48
info,winner,Bermuda
info,winner_wickets,10
info,method,D/L
info,player,Belize,NN Banner
info,player,Belize,L Bonner
info,player,Belize,A Oxley
info,player,Belize,ML Castillo
info,player,Belize,Greg Scott
info,player,Belize,K Moses
info,player,Belize,O Casasola
info,player,Belize,TAW Patterson
info,player,Belize,R Broaster
info,player,Belize,K Bevans
info,player,Belize,R Smith
info,player,Bermuda,OGL Bascome
info,player,Bermuda,DMW Rawlins
info,player,Bermuda,D Sabir
info,player,Bermuda,Z Burgess
info,player,Bermuda,C Trott
info,player,Bermuda,TS Fray
info,player,Bermuda,S Smith
info,player,Bermuda,DL Brangman
info,player,Bermuda,Jonte Smith
info,player,Bermuda,L Horan
info,player,Bermuda,Isaiah O'Brien
info,registry,people,A Gajjar,37db06ef
info,registry,people,A Oxley,d1317833
info,registry,people,C Trott,ae624b05
info,registry,people,D Sabir,04bc296f
info,registry,people,DL Brangman,dab18aa5
info,registry,people,DMW Rawlins,f1eb3c73
info,registry,people,Greg Scott,bf06337d
info,registry,people,Isaiah O'Brien,967801f4
info,registry,people,Jonte Smith,ae4d0b45
info,registry,people,K Bevans,3dfbf6f1
info,registry,people,K Moses,e29f78ec
info,registry,people,L Bonner,fd94c29f
info,registry,people,L Horan,16d43e12
info,registry,people,ML Castillo,9853b404
info,registry,people,NN Banner,0697b5a1
info,registry,people,O Casasola,15fe1668
info,registry,people,OGL Bascome,94a1827c
info,registry,people,P Manning,f06b5585
info,registry,people,R Broaster,d6c3432e
info,registry,people,R Smith,02d59576
info,registry,people,Reon King,20fbf68c
info,registry,people,S Smith,18a0ba24
info,registry,people,TAW Patterson,5abb0f07
info,registry,people,TS Fray,c7537f8a
info,registry,people,Z Burgess,d0042e16
info,registry,people,Zahid Bassarath,ca6bf044
