version,2.3.0
info,balls_per_over,6
info,team,Belgium
info,team,Hungary
info,gender,male
info,team_type,international
info,season,2026
info,date,2026/06/20
info,match_id,1540312
info,match_type,T20
info,match_type_number,3968
info,overs,20
info,event,Continental Cup
info,match_number,5
info,venue,"Moara Vlasiei Cricket Ground, Ilfov County"
info,city,Ilfov County
info,toss_winner,Belgium
info,toss_decision,bat
info,player_of_match,Aziz Mohammad
info,target_overs,2,20
info,target_runs,2,233
info,winner,Belgium
info,winner_runs,10
info,player,Belgium,Aziz Mohammad
info,player,Belgium,Hadisullah Tarakhel
info,player,Belgium,Omid Mailk Khel
info,player,Belgium,Sheraz Sheikh
info,player,Belgium,B Niaz
info,player,Belgium,Ahmad Khalid Ahmadzai
info,player,Belgium,F Khaliq
info,player,Belgium,Walid Sahibzada
info,player,Belgium,Murid Ekrami
info,player,Belgium,Rashid Khan
info,player,Belgium,R Thapliyal
info,player,Hungary,Abbas Ghani
info,player,Hungary,V Ravindran
info,player,Hungary,Muhammad Soban
info,player,Hungary,M Bhaiji
info,player,Hungary,Ali Nawaz
info,player,Hungary,M Fontaine
info,player,Hungary,Ali Farasat
info,player,Hungary,RJ Ainsworth
info,player,Hungary,Ibrar Ahmad
info,player,Hungary,SA Mohandas
info,player,Hungary,Sadat Said
info,registry,people,Abbas Ghani,a8f91f78
info,registry,people,Ahmad Khalid Ahmadzai,e4ad57ea
info,registry,people,Ali Farasat,5845b99b
info,registry,people,Ali Nawaz,deef8879
info,registry,people,Aziz Mohammad,b3e9555a
info,registry,people,B Niaz,b7824537
info,registry,people,F Khaliq,c17dcc29
info,registry,people,Hadisullah Tarakhel,77bedcce
info,registry,people,Ibrar Ahmad,9dc8bc5c
info,registry,people,M Bhaiji,a06c81fd
info,registry,people,M Fontaine,1339f52a
info,registry,people,Muhammad Soban,a5e1e2d4
info,registry,people,Murid Ekrami,76b19864
info,registry,people,Omid Mailk Khel,2d94751e
info,registry,people,R Thapliyal,5947220c
info,registry,people,RJ Ainsworth,b6924e3f
info,registry,people,Rashid Khan,1eaac48d
info,registry,people,SA Mohandas,8b0b3bba
info,registry,people,Sadat Said,c5d00347
info,registry,people,Sheraz Sheikh,4aad6842
info,registry,people,V Ravindran,e5ecb1ef
info,registry,people,Walid Sahibzada,523c8494
