version,2.3.0
info,balls_per_over,6
info,team,Turkey
info,team,Estonia
info,gender,male
info,team_type,international
info,season,2026
info,date,2026/07/13
info,match_id,1543376
info,match_type,T20
info,match_type_number,4931
info,overs,20
info,event,ICC Men's T20 World Cup Sub Regional Europe Qualifier B
info,match_number,16
info,venue,"Svanholm Park, Brondby"
info,city,Brondby
info,toss_winner,Turkey
info,toss_decision,bat
info,player_of_match,Habib Khan
info,umpire,M Prabhudesa
info,umpire,Munib Haq
info,reserve_umpire,Aidan Seaver
info,match_referee,G McCrea
info,target_overs,2,20
info,target_runs,2,118
info,winner,Estonia
info,winner_wickets,6
info,player,Turkey,Abdullah Khan Lodhi
info,player,Turkey,A Turkmen
info,player,Turkey,I Elec
info,player,Turkey,Ilyas Ataullah
info,player,Turkey,Murat Yilmaz
info,player,Turkey,Mustafa Balkis
info,player,Turkey,Muhammad Fahad
info,player,Turkey,M Ozturk
info,player,Turkey,Serdar Burak Emir
info,player,Turkey,Ibrahim Kursad Dalyan
info,player,Turkey,Mertcan Filiz
info,player,Estonia,Habib Khan
info,player,Estonia,Sahil Chauhan
info,player,Estonia,Arslan Amjad
info,player,Estonia,Bilal Masud
info,player,Estonia,Zeeshan Ali
info,player,Estonia,H Aggarwal
info,player,Estonia,Aditya Panwar
info,player,Estonia,A Paul
info,player,Estonia,Ashraful Shuvo
info,player,Estonia,R Sekaran
info,player,Estonia,K Vislapuu
info,registry,people,A Paul,fa308279
info,registry,people,A Turkmen,e56f4180
info,registry,people,Abdullah Khan Lodhi,6d8b7ac4
info,registry,people,Aditya Panwar,77e321db
info,registry,people,Aidan Seaver,862c0b16
info,registry,people,Arslan Amjad,c228c52d
info,registry,people,Ashraful Shuvo,9bb259b4
info,registry,people,Bilal Masud,643e4882
info,registry,people,Furkan Tuskan,32009b6a
info,registry,people,G McCrea,46f4a901
info,registry,people,H Aggarwal,021ac4dd
info,registry,people,Habib Khan,5152ab02
info,registry,people,I Elec,4d0d5b7d
info,registry,people,Ibrahim Kursad Dalyan,f0f20cf8
info,registry,people,Ilyas Ataullah,357484e9
info,registry,people,K Vislapuu,04855b85
info,registry,people,M Ozturk,d62f04f5
info,registry,people,M Prabhudesa,c36bcd1e
info,registry,people,Mertcan Filiz,b2e15fa9
info,registry,people,Muhammad Fahad,3f778477
info,registry,people,Munib Haq,5ac45f13
info,registry,people,Murat Yilmaz,f2990906
info,registry,people,Mustafa Balkis,55e6c23c
info,registry,people,R Sekaran,5da43a10
info,registry,people,Sahil Chauhan,f219df21
info,registry,people,Serdar Burak Emir,6d9238ac
info,registry,people,Zeeshan Ali,2c89dbf9
