version,2.3.0
info,balls_per_over,6
info,team,Tanzania
info,team,Namibia
info,gender,female
info,team_type,international
info,season,2026
info,date,2026/07/21
info,match_id,1544600
info,match_type,T20
info,match_type_number,2917
info,overs,20
info,event,Women's T20 Quadrangular Series (in Namibia)
info,match_number,2
info,venue,"High Performance Oval, Windhoek"
info,city,Windhoek
info,toss_winner,Namibia
info,toss_decision,field
info,player_of_match,SA Wittmann
info,umpire,E Du Plooy
info,umpire,S Delport
info,target_overs,2,20
info,target_runs,2,96
info,winner,Namibia
info,winner_wickets,9
info,player,Tanzania,S Mtae
info,player,Tanzania,NJ Pius
info,player,Tanzania,PZ Kamunya
info,player,Tanzania,HM Omary
info,player,Tanzania,NN Saidi
info,player,Tanzania,AS Qwele
info,player,Tanzania,A Mohamed
info,player,Tanzania,SD Hussein
info,player,Tanzania,SF Jerome
info,player,Tanzania,S Kizito
info,player,Tanzania,MJ Massawe
info,player,Namibia,SA Wittmann
info,player,Namibia,KA Green
info,player,Namibia,M Mwatile
info,player,Namibia,E Van Zyl
info,player,Namibia,JA Diergaardt
info,player,Namibia,W Mwatile
info,player,Namibia,M Gorases
info,player,Namibia,SN Shihepo
info,player,Namibia,V Hamunyela
info,player,Namibia,EU Kejarukua
info,player,Namibia,S Tuhadeleni
info,registry,people,A Mohamed,86a68879
info,registry,people,AS Qwele,26b3df21
info,registry,people,E Du Plooy,e56988a1
info,registry,people,E Van Zyl,79ff52b5
info,registry,people,EU Kejarukua,e7068bfd
info,registry,people,HM Omary,2cbe5db1
info,registry,people,JA Diergaardt,b72a8938
info,registry,people,KA Green,fa9fdefa
info,registry,people,M Gorases,d034d60a
info,registry,people,M Mwatile,92b9e9af
info,registry,people,MJ Massawe,f6b2e610
info,registry,people,NJ Pius,f4270fc7
info,registry,people,NN Saidi,16610c7b
info,registry,people,PZ Kamunya,6e60bbe2
info,registry,people,S Delport,33b75899
info,registry,people,S Kizito,d91a936b
info,registry,people,S Mtae,bb641155
info,registry,people,S Tuhadeleni,13f7c5f4
info,registry,people,SA Wittmann,531aef3b
info,registry,people,SD Hussein,5f36cd39
info,registry,people,SF Jerome,e393c6c1
info,registry,people,SN Shihepo,1b3f7dbb
info,registry,people,V Hamunyela,d758a366
info,registry,people,W Mwatile,5728635a
