version,2.3.0
info,balls_per_over,6
info,team,Tanzania
info,team,Hong Kong
info,gender,female
info,team_type,international
info,season,2026
info,date,2026/07/27
info,match_id,1544607
info,match_type,T20
info,match_type_number,2926
info,overs,20
info,event,Women's T20 Quadrangular Series (in Namibia)
info,match_number,9
info,venue,"Namibia Cricket Ground, Windhoek"
info,city,Windhoek
info,toss_winner,Hong Kong
info,toss_decision,field
info,player_of_match,M Hill
info,umpire,H Hugo
info,umpire,S Schoonbee
info,target_overs,2,20
info,target_runs,2,136
info,winner,Hong Kong
info,winner_wickets,9
info,player,Tanzania,S Mtae
info,player,Tanzania,NJ Pius
info,player,Tanzania,PZ Kamunya
info,player,Tanzania,HM Omary
info,player,Tanzania,NN Saidi
info,player,Tanzania,AS Qwele
info,player,Tanzania,SD Hussein
info,player,Tanzania,S Borakambi
info,player,Tanzania,SF Jerome
info,player,Tanzania,MJ Massawe
info,player,Tanzania,S Kizito
info,player,Hong Kong,NT Miles
info,player,Hong Kong,M Hill
info,player,Hong Kong,KY Chan
info,player,Hong Kong,M Wai Siu
info,player,Hong Kong,SYD Chan
info,player,Hong Kong,Iqra Sahar
info,player,Hong Kong,Joyleen Kaur
info,player,Hong Kong,K Mahekdeep
info,player,Hong Kong,MBA Lamplough
info,player,Hong Kong,M Bibi
info,player,Hong Kong,Shanzeen Shahzad
info,registry,people,AS Qwele,26b3df21
info,registry,people,H Hugo,48f9193f
info,registry,people,HM Omary,2cbe5db1
info,registry,people,Iqra Sahar,aaccb8ca
info,registry,people,Joyleen Kaur,8ea44a61
info,registry,people,K Mahekdeep,d13c1b74
info,registry,people,KY Chan,6348c6e9
info,registry,people,M Bibi,34f86a2d
info,registry,people,M Hill,bf5e7711
info,registry,people,M Wai Siu,74eecff4
info,registry,people,MBA Lamplough,997fffbe
info,registry,people,MJ Massawe,f6b2e610
info,registry,people,NJ Pius,f4270fc7
info,registry,people,NN Saidi,16610c7b
info,registry,people,NT Miles,d27d0835
info,registry,people,PZ Kamunya,6e60bbe2
info,registry,people,S Borakambi,36099d55
info,registry,people,S Kizito,d91a936b
info,registry,people,S Mtae,bb641155
info,registry,people,S Schoonbee,9cefa638
info,registry,people,SD Hussein,5f36cd39
info,registry,people,SF Jerome,e393c6c1
info,registry,people,SYD Chan,4839b023
info,registry,people,Shanzeen Shahzad,ce291858
